expanded_urls,floofer,name,rating_denominator,rating_numerator,source,text,timestamp,tweet_id,stage,full_text,media_url,url,rt_count,fav_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
https://twitter.com/dog_rates/status/890240255349198849/photo/1,,Cassie,10,14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,2017-07-26 15:59:51,890240255349198849,doggo,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,https://t.co/t1bfwz5S2A,6656,29736,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
https://twitter.com/dog_rates/status/884162670584377345/photo/1,,Yogi,10,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,2017-07-09 21:29:42,884162670584377345,doggo,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,https://t.co/YSI00BzTBZ,2717,19046,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,German_shepherd,0.707046,True,Malinois,0.199396,True,Norwegian_elkhound,0.0491476,True
"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",,NaN,10,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,2017-06-09 00:02:31,872967104147763200,doggo,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,https://pbs.twimg.com/media/DB1m871XkAUbCkY.jpg,https://t.co/EMYIdoblMR,4965,25573,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,2,Labrador_retriever,0.476913,True,Chesapeake_bay_retriever,0.174145,True,German_short-haired_pointer,0.0928614,True
"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",,Napolean,10,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,2017-06-04 23:56:03,871515927908634625,doggo,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,https://pbs.twimg.com/media/DBg_HT8XUAEoyo_.jpg,https://t.co/PR7B7w1rUw,3200,18983,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,2,Komondor,0.974781,True,Briard,0.0200413,True,Swab,0.00322824,False
"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",,Scout,10,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,2017-05-30 16:49:31,869596645499047938,doggo,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,https://t.co/DsA2hwXAJo,2887,15061,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,1,Chihuahua,0.955156,True,Toy_terrier,0.00805373,True,Muzzle,0.00629563,False
https://twitter.com/dog_rates/status/858843525470990336/photo/1,,NaN,10,13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq,2017-05-01 00:40:27,858843525470990336,doggo,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge https://t.co/cUeDMlHJbq,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg,https://t.co/cUeDMlHJbq,3302,14951,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg,1,Golden_retriever,0.57812,True,Labrador_retriever,0.286059,True,Bloodhound,0.0269173,True
https://twitter.com/dog_rates/status/855851453814013952/photo/1,,NaN,10,13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,2017-04-22 18:31:02,855851453814013952,doggo,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,https://t.co/cMhq16isel,17274,44247,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,1,Flat-coated_retriever,0.321676,True,Labrador_retriever,0.115138,True,Groenendael,0.0960997,True
https://twitter.com/dog_rates/status/855851453814013952/photo/1,,NaN,10,13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,2017-04-22 18:31:02,855851453814013952,puppo,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for https://t.co/cMhq16isel,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,https://t.co/cMhq16isel,17274,44247,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,1,Flat-coated_retriever,0.321676,True,Labrador_retriever,0.115138,True,Groenendael,0.0960997,True
"https://twitter.com/dog_rates/status/854010172552949760/photo/1,https://twitter.com/dog_rates/status/854010172552949760/photo/1",floofer,NaN,10,11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk",2017-04-17 16:34:26,854010172552949760,doggo,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs https://t.co/TXdT3tmuYk",https://pbs.twimg.com/media/C9oNt91WAAAFSLS.jpg,https://t.co/TXdT3tmuYk,3037,15766,https://pbs.twimg.com/media/C9oNt91WAAAFSLS.jpg,1,English_springer,0.354733,True,Collie,0.177538,True,Border_collie,0.131706,True
"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",,Barney,10,13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,2017-03-28 00:07:32,846514051647705089,doggo,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,https://pbs.twimg.com/media/C79sB4yWkAEBJx_.jpg,https://t.co/cFAasDXauK,11332,43972,https://pbs.twimg.com/media/C79sB4xXwAEvwKY.jpg,2,Golden_retriever,0.650003,True,Leonberg,0.0651992,True,Norfolk_terrier,0.0529553,True
